2026-05-30 12:23:00 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-05-30 12:23:36 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-05-30 12:24:01 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-05-30 12:26:38 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-05-30 12:31:46 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 12:31:46 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 12:32:12 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 12:59:23 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-05-30 12:59:34 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-05-30 13:00:18 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-05-30 13:07:02 | app.utils.image_processing | INFO | Detected 2 banknote candidate(s).
2026-05-30 13:07:03 | app.utils.image_processing | INFO | Detected 2 banknote candidate(s).
2026-05-30 13:07:30 | app.utils.image_processing | INFO | Detected 2 banknote candidate(s).
2026-05-30 13:18:59 | app.utils.image_processing | INFO | Detected 2 banknote candidate(s).
2026-05-30 13:18:59 | app.utils.image_processing | INFO | Detected 2 banknote candidate(s).
2026-05-30 13:19:39 | app.utils.image_processing | INFO | Detected 2 banknote candidate(s).
2026-05-30 13:41:25 | app.utils.image_processing | INFO | Detected 2 banknote candidate(s).
2026-05-30 13:41:25 | app.utils.image_processing | INFO | Detected 2 banknote candidate(s).
2026-05-30 13:42:09 | app.utils.image_processing | INFO | Detected 2 banknote candidate(s).
2026-05-30 13:45:03 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 13:45:03 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 13:48:40 | app.utils.image_processing | INFO | Detected 3 banknote candidate(s).
2026-05-30 13:48:40 | app.utils.image_processing | INFO | Detected 3 banknote candidate(s).
2026-05-30 13:50:02 | app.utils.image_processing | INFO | Detected 3 banknote candidate(s).
2026-05-30 13:53:04 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 13:53:04 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 13:59:39 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-05-30 13:59:56 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-05-30 13:59:56 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 13:59:56 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 14:00:12 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 14:00:39 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 14:00:39 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 14:00:55 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 15:22:49 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-05-30 15:23:13 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 15:25:41 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 15:30:27 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 15:34:23 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 15:47:38 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 15:48:05 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 15:49:36 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-05-30 15:49:46 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 15:59:46 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-05-30 16:00:15 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-06-05 00:42:07 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-06-06 00:37:40 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-06-06 01:07:44 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-06-06 01:15:00 | app.utils.image_processing | INFO | No reliable banknote candidate found, using original image.
2026-06-06 01:15:05 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-06 01:15:05 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://23.95.150.145:6114
2026-06-06 01:22:38 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-06-06 01:22:38 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-06-06 01:22:41 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-06 01:22:41 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://50.114.82.8:6992
2026-06-06 01:23:23 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-06 01:23:23 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://198.105.121.200:6462
2026-06-06 01:27:18 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-06-06 01:27:20 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-06 01:27:20 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://209.127.138.10:5784
2026-06-06 01:29:00 | app.utils.image_processing | INFO | Detected 2 banknote candidate(s).
2026-06-06 01:29:03 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-06 01:29:03 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://209.127.138.10:5784
2026-06-06 01:29:54 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-06 01:29:54 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://64.137.96.74:6641
2026-06-06 01:30:52 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-06 01:30:52 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://38.154.203.95:5863
2026-06-06 16:53:04 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-06-06 17:08:05 | app.utils.image_processing | INFO | Detected 2 banknote candidate(s).
2026-06-06 17:08:11 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-06 17:08:11 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://38.154.203.95:5863
2026-06-06 17:09:02 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-06 17:09:02 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://198.105.121.200:6462
2026-06-06 17:09:54 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-06 17:09:54 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://23.95.150.145:6114
2026-06-06 17:31:09 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
